City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
351,pisco,0,PE,1533412800,68,-13.71,-76.2,68.0,20.8
352,tongliao,0,CN,1533416601,88,43.61,122.27,64.72,8.19
353,college,75,US,1533412680,68,64.86,-147.8,64.4,5.82
354,vallenar,0,CL,1533416602,65,-28.58,-70.76,60.94,2.59
355,olga,1,US,1533412680,35,34.11,-118.17,100.4,8.05
356,high rock,32,BS,1533416602,100,26.63,-78.28,82.09,12.55
357,praia da vitoria,75,PT,1533412800,88,38.73,-27.07,71.6,11.77
358,kindu,48,CD,1533416603,76,-2.95,25.92,76.42,2.15
359,porbandar,92,IN,1533416603,88,21.64,69.61,80.11,20.6
360,champerico,75,MX,1533412020,43,16.38,-93.6,87.8,10.29
361,roald,75,NO,1533415800,82,62.58,6.12,57.2,11.41
362,salalah,75,OM,1533412200,94,17.01,54.1,77.0,2.24
363,half moon bay,40,US,1533415200,82,37.46,-122.43,93.2,17.22
364,meadow lake,56,CA,1533416604,67,54.13,-108.44,75.25,8.41
365,victoria,75,BN,1533412800,94,5.28,115.24,80.6,9.75
366,shaghat,40,AM,1533415260,73,39.57,45.91,71.6,4.7
367,flinders,0,AU,1533412800,81,-34.58,150.85,42.8,5.82
368,milas,0,TR,1533414000,83,37.31,27.78,71.6,4.7
369,dubrovnik,20,HR,1533414600,42,42.65,18.09,84.2,4.7
370,saldanha,0,PT,1533416607,35,41.42,-6.55,77.32,5.39
371,gobabis,12,NA,1533416607,45,-22.45,18.97,61.66,8.86
372,aurillac,0,FR,1533414600,50,44.93,2.44,82.4,1.12
373,ahuimanu,75,US,1533412620,74,21.44,-157.84,84.2,13.87
374,redondela,0,ES,1533414600,70,42.28,-8.61,86.0,8.05
375,maragogi,12,BR,1533416365,84,-9.01,-35.22,74.26,6.62
376,gravdal,88,NO,1533415800,72,59.79,5.78,59.0,11.41
377,mount gambier,88,AU,1533416609,68,-37.83,140.78,52.57,11.65
378,butterworth,75,MY,1533412800,94,5.4,100.37,77.0,3.36
379,taltal,0,CL,1533416609,72,-25.41,-70.49,58.96,1.25
380,vuktyl,56,RU,1533416610,81,63.86,57.31,44.11,2.15
381,tevaitoa,92,PF,1533416610,100,-16.78,-151.5,78.67,16.24
382,chara,0,GR,1533412200,64,39.42,22.43,71.6,8.05
383,manokwari,92,ID,1533416611,100,-0.87,134.08,81.46,8.41
384,vao,24,EE,1533416611,81,59.1,26.19,65.62,6.51
385,beyneu,92,KZ,1533416611,42,45.32,55.19,80.2,4.94
386,wad rawah,20,SD,1533416612,71,15.16,33.13,77.95,8.52
387,sri aman,44,MY,1533412800,94,1.24,111.46,73.4,2.93
388,cockburn town,0,TC,1533416538,96,21.46,-71.14,82.99,20.15
389,tura,100,IN,1533416612,95,25.52,90.21,77.5,2.26
390,bubaque,40,GW,1533412800,78,11.28,-15.83,80.6,8.05
391,vila franca do campo,40,PT,1533414600,78,37.72,-25.43,71.6,10.29
392,opuwo,0,NA,1533416613,45,-18.06,13.84,62.74,3.6
393,ikongo,92,MG,1533416613,96,-21.88,47.44,55.72,2.26
394,port shepstone,0,ZA,1533416614,81,-30.74,30.45,65.71,4.38
395,datteln,12,DE,1533415800,64,51.65,7.34,75.2,9.17
396,bara,80,NG,1533416614,85,10.41,10.6,76.06,6.62
397,ketchikan,75,US,1533412560,72,55.34,-131.65,68.0,11.41
398,neiafu,40,TO,1533412800,60,-18.65,-173.98,73.4,4.7
399,vardo,40,US,1533415680,43,39.62,-77.74,87.8,3.36
400,bambous virieux,20,MU,1533412800,68,-20.34,57.76,71.6,6.93
401,lebu,75,ET,1533412800,100,8.96,38.73,55.4,4.7
402,hazorasp,0,UZ,1533414600,57,41.32,61.08,75.2,4.7
403,juneau,90,US,1533412560,60,58.3,-134.42,69.8,16.11
404,prado,0,BR,1533416617,98,-17.34,-39.22,76.15,17.47
405,nome,90,US,1533414120,83,30.04,-94.42,91.4,11.41
406,yenagoa,56,NG,1533416617,80,4.92,6.26,74.89,6.96
407,thurso,92,GB,1533415800,87,58.6,-3.52,57.2,3.36
408,ondjiva,0,AO,1533416618,50,-17.07,15.73,67.78,7.74
409,manaure,20,CO,1533412800,70,11.78,-72.45,86.0,17.22
410,taunggyi,92,MM,1533416618,99,20.78,97.03,66.7,2.59
411,ko samui,64,TH,1533416403,100,9.54,99.94,82.54,19.37
412,tuyen quang,100,VN,1533416619,100,21.82,105.22,71.74,2.93
413,ola,20,RU,1533412800,100,59.58,151.3,50.0,4.83
414,westport,68,IE,1533416620,91,53.8,-9.52,56.89,5.61
415,inta,88,RU,1533416620,87,66.04,60.13,45.82,3.38
416,dauriya,24,RU,1533416620,88,49.93,116.85,50.59,2.93
417,khor,20,RU,1533416620,81,47.88,134.96,54.01,2.59
418,great malvern,0,GB,1533415800,60,52.11,-2.33,73.4,8.05
419,agustin codazzi,20,CO,1533412800,27,10.03,-73.24,100.4,13.87
420,lagoa,0,PT,1533414600,19,37.14,-8.45,98.6,17.22
421,new bedford,90,US,1533415560,88,41.64,-70.93,77.0,4.7
422,manzhouli,32,CN,1533416622,90,49.6,117.43,49.69,2.59
423,rio gallegos,0,AR,1533412800,51,-51.62,-69.22,37.4,12.75
424,jalu,0,LY,1533416622,39,29.03,21.55,81.37,3.6
425,mersing,8,MY,1533416623,100,2.43,103.84,75.34,5.73
426,ambon,0,FR,1533414600,65,47.55,-2.56,77.0,11.41
427,eyl,0,SO,1533416623,77,7.98,49.82,78.22,22.06
428,lata,80,IN,1533416623,100,30.78,78.62,61.57,0.69
429,prince rupert,80,CA,1533416624,89,54.32,-130.32,60.67,2.15
430,hasaki,20,JP,1533414600,100,35.73,140.83,78.8,3.36
431,acapulco,75,MX,1533411780,66,16.86,-99.88,87.8,4.7
432,kavieng,44,PG,1533416625,100,-2.57,150.8,81.01,3.6
433,sladkovo,0,RU,1533416674,83,55.53,70.34,44.74,2.93
434,mapiri,100,BO,1533416626,100,-15.31,-68.22,51.76,3.04
435,taikang,0,CN,1533416626,100,46.86,124.44,59.14,6.4
436,bethalto,75,US,1533415860,34,38.91,-90.04,93.2,17.22
437,touros,8,BR,1533416626,79,-5.2,-35.46,78.76,15.68
438,mengcheng,20,CN,1533416627,95,33.26,116.57,78.94,6.4
439,srednekolymsk,0,RU,1533416627,69,67.46,153.71,50.86,3.94
440,peruibe,80,BR,1533416333,100,-24.32,-47.0,66.52,8.75
441,ajdabiya,0,LY,1533416628,58,30.75,20.22,81.19,10.42
442,san juan,75,PH,1533412800,100,14.6,121.03,78.8,4.27
443,birjand,0,IR,1533412800,20,32.86,59.22,77.0,6.93
